INSTRUCTIONS: | ИНСТРУКЦИИ:
1. PICK A COUPLE QUOTES A DAY AND READ THEM IN THE MIRROR. 
2. WATCH YOURSELF READ THEM, THE SHAPE OF THE LETTERS ON YOUR LIPS FORMING WORDS AS YOU ACKNOWLEDGE YOUR OWN UNWAVERING GAZE, THAT YOU ARE THE SPEAKER AND THE MASTER OF YOUR OWN DESTINY.  
3. APPRECIATE THIS SPOKEN PORNOGRAPHY OF SORTS, THAT MAKES US RESILIENT AND STRONG, DAY BY DAY, STEP BY STEP. 

1. ВЫБИРАЙТЕ КАЖДЫЙ ДЕНЬ ПАРУ ЦИТАТ И ЧИТАЙТЕ ИХ ПЕРЕД ЗЕРКАЛОМ.
2. НАБЛЮДАЙТЕ ЗА СОБОЙ, ПОКА ВЫ ИХ ЧИТАЕТЕ: КАК БУКВЫ НА ВАШИХ ГУБАХ СКЛАДЫВАЮТСЯ В СЛОВА, КАК ВЫ ВСТРЕЧАЕТЕСЬ СО СВОИМ СОБСТВЕННЫМ НЕПОКОЛЕБИМЫМ ВЗГЛЯДОМ И ОСОЗНАЁТЕ, ЧТО ИМЕННО ВЫ ГОВОРИТЕ И САМИ ЯВЛЯЕТЕСЬ ХОЗЯИНОМ СВОЕЙ СУДЬБЫ.
3. ЦЕНИТЕ ЭТУ СВОЕГО РОДА СЛОВЕСНУЮ ПОРНОГРАФИЮ, КОТОРАЯ ДЕЛАЕТ НАС СТОЙКИМИ И СИЛЬНЫМИ — ДЕНЬ ЗА ДНЁМ, ШАГ ЗА ШАГОМ.

I grow and improve every day. | Я расту и становлюсь лучше каждый день.
I appreciate the opportunities I've been given. | Я ценю возможности, которые мне были даны.
My life is full of potential. | Моя жизнь полна возможностей.
I give myself permission to be myself. | Я разрешаю себе быть собой.
I have the power to change. | У меня есть сила меняться.
I am courageous. | Я смелый человек.
I’m allowed to have needs and take up space. | Я имею право на свои потребности и на то, чтобы занимать своё место.
I am valued. | Меня ценят.
I am worthy of love. | Я достоин любви.
I am enough. | Я уже достаточен таким, какой я есть.
I am a strong, capable person | Я сильный и способный человек.
I have done difficult things in the past, and I can do them again | В прошлом я справлялся с трудными вещами, и смогу сделать это снова.
I have experienced challenges in the past, and I am more resilient because of this | В прошлом я проходил через испытания, и благодаря этому стал более стойким.
I know my worth | Я знаю себе цену.
I deserve to be loved and to love others | Я заслуживаю любви и имею право любить других.
I forgive myself for mistakes I made, and I refuse to hold them against myself | Я прощаю себя за совершённые ошибки и отказываюсь использовать их против себя.
I am allowed to take up space, to have desires, and to have a voice | Я имею право занимать своё место, иметь желания и иметь собственный голос.
I don’t have to give up my hopes and dreams | Мне не нужно отказываться от своих надежд и мечтаний.
Nothing can disrupt my peace. | Ничто не может нарушить мой внутренний покой.
I know I am worthy of peace. | Я знаю, что достоин покоя.
The power is in my hands. | Сила в моих руках.
I am 100% relaxed at this very moment. | В этот самый момент я полностью расслаблен.
I choose to think positively about what’s bothering me. | Я выбираю позитивно смотреть на то, что меня беспокоит.
I have the power to let go of everything that’s negative. | У меня есть сила отпустить всё негативное.
I can let go of things I can’t change. | Я могу отпустить то, что не в силах изменить.
I can be relaxed in all situations. | Я могу сохранять спокойствие в любой ситуации.
I am grateful for the peace I have right now. | Я благодарен за покой, который ощущаю сейчас.
I attract good people into my life. | Я притягиваю в свою жизнь хороших людей.
My personal boundaries are important, and I’m allowed to express my needs to others | Мои личные границы важны, и я имею право говорить другим о своих потребностях.
“No” is a complete sentence and I don’t have to explain or justify my boundaries | «Нет» — это полноценный ответ, и мне не нужно объяснять или оправдывать свои границы.
I am allowed to feel good and to experience pleasure in life | Я имею право чувствовать себя хорошо и испытывать удовольствие от жизни.
I am allowed to feel upset, angry, and sad sometimes—that’s part of being human | Я имею право иногда расстраиваться, злиться и грустить — это часть человеческой жизни.
I am worthy of receiving good things and of accomplishing my goals in life | Я достоин хорошего и достоин достигать своих жизненных целей.
The past is the past, and my past doesn’t predict my future | Прошлое осталось в прошлом, и оно не определяет моё будущее.
All this hard work I am putting into achieving my goals will pay off | Вся тяжёлая работа, которую я вкладываю в достижение своих целей, принесёт плоды.
I am capable of making healthy choices | Я способен делать выбор, который идёт мне на пользу.
It is easy for me to let go of stress, anxiety, and fear. | Мне легко отпускать стресс, тревогу и страх.
I am confident I’m making the right decisions for my life. | Я уверен, что принимаю правильные решения для своей жизни.
Nobody can take my peace from me. | Никто не может отнять у меня мой внутренний покой.
I give myself permission to remove stress from my life. | Я разрешаю себе избавляться от стресса в своей жизни.
My actions bring new understanding into my life. | Мои действия приносят в мою жизнь новое понимание.
I am happy I am surrounded by people that bring value to my life. | Я рад, что меня окружают люди, которые делают мою жизнь богаче.
I accept that I am not perfect. | Я принимаю то, что я не идеален.
Negative thoughts do not serve me anymore | Негативные мысли мне больше не служат.
I will surround myself by people who love and support me unconditionally | Я буду окружать себя людьми, которые любят и поддерживают меня безусловно.
I accept myself for who I am | Я принимаю себя таким, какой я есть.
With positive thoughts and self-confidence, I will be unstoppable | С позитивным мышлением и уверенностью в себе меня будет не остановить.
I am proud of myself and will continue to strive to do well | Я горжусь собой и продолжу стремиться делать всё как можно лучше.
Today I will do my best | Сегодня я сделаю всё, что в моих силах.
I know it’s okay to get out of my comfort zone. | Я знаю, что выходить из зоны комфорта — нормально.
Other people’s opinions don’t bother me. | Мнения других людей меня не тревожат.
I focus on the positive aspects of every situation. | Я сосредотачиваюсь на положительных сторонах каждой ситуации.
I appreciate myself. | Я ценю себя.
I have a loving family that supports me and respects my needs. | У меня любящая семья, которая поддерживает меня и уважает мои потребности.
As worries leave my body, they leave room for peace and calmness. | Когда тревоги покидают моё тело, они освобождают место для покоя и спокойствия.
I let go of stress. | Я отпускаю стресс.
There’s no room for pessimistic thoughts in my head. | В моей голове нет места пессимистичным мыслям.
I know I am worthy of peace. | Я знаю, что достоин покоя.
The power is in my hands. | Сила в моих руках.
Disagreements with my family and friends can’t disrupt my peace. | Разногласия с семьёй и друзьями не могут нарушить мой внутренний покой.
Growth is sometimes bumpy and isn’t always linear, but I will stay the course | Рост иногда бывает неровным и не всегда идёт по прямой, но я продолжу двигаться своим путём.
Healing is within reach for me | Исцеление для меня достижимо.
I love my body, my mind, my dreams, and my goals | Я люблю своё тело, свой разум, свои мечты и свои цели.
I create a safe space for open dialogue. | Я создаю безопасное пространство для открытого диалога.
I practice empathy in my interactions with others. | В общении с другими я проявляю эмпатию.
I engage in respectful conversations, even when I disagree. | Я веду уважительный диалог, даже когда не согласен.
I recognize the impact of my words and actions. | Я осознаю влияние своих слов и поступков.
I commit to being a positive role model for civility. | Я стремлюсь своим примером показывать уважительное и цивилизованное отношение к другим.
I recognize the shared humanity in every individual. | Я вижу общую человечность в каждом человеке.
I take responsibility for my part in creating a respectful environment. | Я беру на себя ответственность за свой вклад в создание атмосферы взаимного уважения.
I encourage others to express their authentic selves. | Я поддерживаю других в том, чтобы они могли быть собой.
I approach every interaction with empathy and kindness. | К каждому взаимодействию я подхожу с эмпатией и добротой.
I strive to understand others’ feelings and perspectives. | Я стремлюсь понимать чувства и точки зрения других людей.
I choose kindness in every conversation I have. | В каждом разговоре я выбираю доброту.
I focus on the positive aspects of every situation. | Я сосредотачиваюсь на положительных сторонах каждой ситуации.
I advocate for accessibility and inclusivity. | Я выступаю за доступность и инклюзивность.
I strive to be an ally to those who are marginalized. | Я стремлюсь быть союзником тех, кто подвергается маргинализации.
I celebrate the diversity of thought in my academic pursuits. | В своей академической деятельности я ценю разнообразие идей и взглядов.
I envision a future where civility thrives in our community. | Я представляю будущее, в котором в нашем сообществе процветают уважение и культура общения.
I commit to breaking down barriers and building bridges. | Я стремлюсь разрушать барьеры и наводить мосты.
I practice active listening to foster deeper connections. | Я практикую активное слушание, чтобы создавать более глубокие связи.
I treat others as I wish to be treated, with respect and dignity. | Я отношусь к другим так, как хотел бы, чтобы относились ко мне, — с уважением и достоинством.
I choose to respond to conflict with empathy rather than anger. | В конфликте я выбираю отвечать с эмпатией, а не с гневом.
